id,date,month,step,time,title,loc,cat,desc,
1,4/18/2026,April,1,9:00 AM,Check-In Period,SEH B1 Green Wall,announcement,Participant check-in,c
2,4/18/2026,April,1,10:00 AM,Opening Ceremony,Lehman Auditorium,main,"Welcome, rules, and kickoff",
3,4/18/2026,April,1,11:30 AM,Lunch,SEH B1 Green Wall,food,Lunch served,
4,4/18/2026,April,1,12:30 PM,"Team Registration- Picking Track,Problem Statement",online,announcement,Start hacking and submit pitch ideas,
5,4/18/2026,April,1,1:00 PM,David Lippert’s Open Source Program Office Workshop,B1270,workshop,UN-focused session,
6,4/18/2026,April,1,2:00 PM,Amreen’s UN Digital Public Goods Workshop,B1270,workshop,Open source program session,
7,4/18/2026,April,1,3:00 PM,Kevin Robbins’s Cloud AI Workshop,B1270,workshop,AI-focused talk,
8,4/18/2026,April,1,4:00 PM,Alina from Major Leage Hacking’s Github Workshop,B1270,workshop,MLH session,
9,4/18/2026,April,1,5:00 PM,Surprise Workshop,B1270,workshop,Additional workshop,
10,4/18/2026,April,1,6:30 PM,Pizza Dinner,SEH B1 Green Wall,food,Dinner served,
11,4/18/2026,April,1,7:00 PM,Late Night Activities Start,Lehman Auditorium,networking,Activities begin,
12,4/18/2026,April,1,8:00 PM,Late Night Snacks,SEH B1 Green Wall,food,Snacks provided,
13,4/19/2026,April,2,9:00 AM,Check-In Period,SEH B1 Green Wall,announcement,Morning check-in,
14,4/19/2026,April,2,11:00 AM,Judging Begins,SEH B1 Green Wall,main,Project evaluation starts,
15,4/19/2026,April,2,12:30 PM,Lunch,SEH B1 Green Wall,food,Lunch break,
16,4/19/2026,April,2,1:30 PM,Networking / Grading Time,SEH B1 Green Wall,networking,Judges deliberate,
17,4/19/2026,April,2,3:00 PM,Closing Ceremony,Lehman Auditorium,main,Wrap-up and announcements,
